texto;categoria;origem;data_criacao;status;prioridade;cliente_id
minha mensalidade foi cobrada em duplicidade e isso me atrapalha por favor, expliquem as condições de fidelidade e pausa está cansativo e ninguém dá solução;assinatura;email;2025-01-01 08:09:08;fechado;alta;6106
estou bem irritado porque já tentei outras vezes já tentei pelo chat e não resolveu, por isso liguei a cobrança ficou pendente e o pagamento não confirma quero orientação sobre pagamento e compensação;financeiro;telefone;2025-01-01 08:38:24;fechado;alta;6106
NAO CONSIGO quero esclarecimento sobre política e cancelamento já tentei limpei cache e cookies, atualizei o app estou bem irritado porque já tentei outras vezes;informacoes;email;2025-01-01 09:04:39;fechado;alta;6576
isso está revoltante, sempre fica pendente já mandei email e não resolveu, to tentando por aqui preciso de reagendamento porque o prazo já passou preciso de previsão de entrega e confirmação de recebimento PEDIDO_[ZIH];logistica;chat;2025-01-01 09:33:49;fechado;media;5938
URGENTE já tentei no chat e também por telefone, mas não resolveu a recuperação de senha falha e eu fico sem acesso já tentei tentei de novo mais tarde, tentei outro navegador, saí e entrei na minha conta estou bem irritado porque já tentei outras vezes podem orientar como limpar cache e ajustar o navegador como funciona isso e qual o procedimento;suporte;email;2025-01-01 09:35:19;fechado;alta;6106
já tentei pelo chat e não resolveu, por isso liguei depois da atualização o botão de salvar parou está cansativo e ninguém dá solução preciso que a funcionalidade volte a funcionar desde já agradeço;suporte;telefone;2025-01-01 10:05:02;fechado;alta;5938
está cansativo e ninguém dá solução Boa noite quero troca ou devolução porque veio danificado;logistica;telefone;2025-01-01 10:13:59;fechado;media;9000
já mandei email e não resolveu, tô tentando por aqui no fim de semana o estorno não apareceu e eu queria reembolso estou preocupado porque não resolveu preciso de estorno ou reembolso o quanto antes agradeço, ficou resolvido aqui;financeiro;chat;2025-01-01 10:31:18;fechado;media;4127
URGENTE a renovação automática cobrou e eu queria pausa já faz semanas e ninguém resolve quero confirmar a renovação e a mensalidade correta deixo sugestão pra melhorar a experiência e a satisfação;assinatura;telefone;2025-01-01 10:43:29;aberto;alta;6576
URGENTE desde ontem está cansativo e ninguém dá solução agradeço se puderem revisar a comunicação do suporte quero registrar reclamação sobre qualidade e comunicação;feedback;telefone;2025-01-01 10:46:17;fechado;alta;9000
URGENTE agora pouco eu não reconheço a cobrança e preciso de contestação estou bem irritado porque já tentei outras vezes podem verificar a fatura e ajustar a cobrança;financeiro;telefone;2025-01-01 10:51:00;fechado;alta;8708
PRECISO DE AJUDA já mandei email e não resolveu, tô tentando por aqui estou insatisfeito com o atendimento, sem retorno e muita demora isso está revoltante, sempre fica pendente parece que cada hora muda uma coisa;feedback;chat;2025-01-01 12:14:31;fechado;alta;9000
NAO CONSIGO isso está revoltante, sempre fica pendente desde a semana passada o rastreamento não atualiza e a previsão só muda por favor, verifiquem se houve extravio ou atraso;logistica;telefone;2025-01-01 12:23:01;fechado;alta;4127
URGENTE já tentei contato antes e não resolveu quero troca ou devolução porque veio danificado eu só queria que fosse mais simples foi rápido e ajudou bastante preciso de atualização do envio e da separação no começo do mês desde já agradeço PEDIDO_[DZK];logistica;telefone;2025-01-01 12:42:08;fechado;alta;8708
já liguei e não ficou claro, tô chamando no chat veio juros e multa e eu não entendi o motivo eu chamei de renovação, mas parece que é cobrança mesmo obrigado pela ajuda inclusive fiquei perdido com o procedimento;financeiro;chat;2025-01-01 12:49:08;fechado;alta;3324
já mandei email e não resolveu, tô tentando por aqui no começo do mês quero troca ou devolução pq veio danificado já faz semanas e ninguém resolve como funciona isso e qual o procedimento PEDIDO_[DPE];logistica;chat;2025-01-01 12:57:00;aberto;media;9000
URGENTE preciso ajustar a assinatura e evitar duplicidade preciso de mudança de plano, talvez upgrade ou downgrade está cansativo e ninguém dá solução;assinatura;telefone;2025-01-01 14:21:20;fechado;alta;3324
