texto;categoria;origem;data_criacao;status;prioridade;cliente_id
Oi, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Não quero fazer besteira e piorar. Me ajuda por favor.;suporte;email;2026-01-01 00:00:54;aberto;media;7523
Tentei colocar o cartão, mas ele fica dando erro e volta pra tela anterior. Já reiniciei o celular e nada. Eu queria só pagar e pronto. Tem alguma forma mais simples ou alguém pode me orientar passo a passo? Valeu.;financeiro;email;2026-01-01 00:30:05;fechado;media;4612
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Eu sou meio devagar pra digitar. Pode me dar uma luz?;assinatura;email;2026-01-01 00:55:59;aberto;media;4260
Bom dia, estou vendo um valor na fatura que eu não reconheço. Eu só uso o básico e não cliquei em nada diferente. Pode me explicar de onde saiu essa cobrança e se tem como cancelar ou ajustar, porque tá pesado pra mim. Não quero fazer besteira e piorar.;financeiro;chat;2026-01-01 01:17:18;aberto;baixa;6832
Eu queria retirar em algum lugar porque aqui é difícil receber. Tem ponto de retirada? Se tiver, me explica como faz porque eu nunca usei isso. Agradeço.;logistica;chat;2026-01-01 01:39:09;fechado;media;3847
Olá, eu gosto do serviço, mas acho as telas meio confusas. Eu me perco pra achar as coisas e fico com medo de apertar errado. Seria bom ter um botão bem grande de ajuda. Eu uso só pelo celular mesmo. Agradeço.;feedback;email;2026-01-01 03:21:38;aberto;baixa;2409
Eu queria retirar em algum lugar porque aqui é difícil receber. Tem ponto de retirada? Se tiver, me explica como faz porque eu nunca usei isso.;logistica;email;2026-01-01 05:04:22;aberto;baixa;1737
Oi, meu pedido tá como enviado faz dias e não chegou. Eu não sei ver esses códigos de rastreio direito. Vocês podem me dizer onde tá e quando chega mais ou menos? Eu não manjo muito dessas coisas de app. Pode me dar uma luz?;logistica;email;2026-01-01 07:44:25;fechado;alta;7843
Queria sugerir que avisasse melhor quando vai cobrar. Eu tomo susto quando aparece a cobrança. Se mandasse uma mensagem antes eu me organizava melhor. Obrigadinho.;feedback;email;2026-01-01 08:35:40;aberto;baixa;5103
Oi, vocês têm algum horário certo pra suporte? Eu fico tentando falar e às vezes não aparece ninguém. Queria saber qual o melhor horário pra eu chamar e resolver mais rápido. Eu sou meio devagar pra digitar.;informacoes;email;2026-01-01 08:52:14;aberto;media;4472
